Company,Sector,Short description
Apple,Technology,"Consumer technology company known for the iPhone, Mac, iPad, wearables and digital services."
Microsoft,Technology,"Software and cloud computing company behind Windows, Azure, Microsoft 365 and LinkedIn."
Alphabet,Technology,"Technology group whose main businesses include Google Search, YouTube, advertising and cloud computing."
Amazon,Consumer and technology,"E-commerce and cloud computing company operating Amazon Marketplace, AWS and logistics networks."
Meta Platforms,Technology and media,"Social media company operating Facebook, Instagram, WhatsApp and Threads."
Nvidia,Semiconductors,Chip designer specialising in graphics processors and accelerated computing for AI and data centres.
Intel,Semiconductors,Semiconductor company producing processors and other chips for computers and data centres.
TSMC,Semiconductors,"The world's leading contract chip manufacturer, producing advanced semiconductors for technology companies."
Samsung Electronics,Technology and consumer electronics,"South Korean electronics group making smartphones, memory chips, displays and appliances."
Sony,Technology and entertainment,"Japanese group spanning gaming, electronics, music, film and financial services."
Oracle,Technology,Enterprise software and cloud infrastructure provider focused on databases and business applications.
Salesforce,Technology,Cloud software company providing customer relationship management and related business applications.
Adobe,Technology,"Software company best known for Creative Cloud, Acrobat and digital experience products."
SAP,Technology,"Enterprise software provider whose products manage finance, supply chains, human resources and operations."
Netflix,Media and entertainment,Subscription streaming service producing and distributing television programmes and films.
Spotify,Media and technology,"Audio streaming platform offering music, podcasts and audiobooks."
Uber,Transport and technology,"Digital platform connecting consumers with ride-hailing, delivery and freight services."
Airbnb,Travel and technology,Online marketplace connecting guests with short-term accommodation and experiences.
Booking Holdings,Travel and technology,"Online travel company operating Booking.com, Priceline, Agoda and other travel platforms."
Accenture,Professional services,Global consulting and technology services firm helping organisations transform their operations and systems.
JPMorgan Chase,Financial services,"Diversified banking group offering consumer banking, commercial banking, investment banking and asset management."
Bank of America,Financial services,"Large US bank serving consumers, businesses, institutional clients and investors."
Wells Fargo,Financial services,"US financial institution providing consumer banking, commercial banking and wealth management."
Goldman Sachs,Financial services,"Investment bank active in advisory, markets, asset management and consumer finance."
Morgan Stanley,Financial services,"Financial services group focused on investment banking, securities, wealth management and investment management."
Citigroup,Financial services,"Global bank providing institutional banking, markets and consumer financial services."
HSBC,Financial services,"International bank with major businesses in wealth, commercial and investment banking."
Barclays,Financial services,"UK banking group operating consumer banking, corporate banking, investment banking and cards businesses."
Lloyds Banking Group,Financial services,"UK financial services group owning Lloyds Bank, Halifax and Bank of Scotland."
NatWest Group,Financial services,"UK banking group serving retail, business and commercial customers."
BlackRock,Asset management,"Investment manager offering funds, portfolio management, risk technology and advisory services."
Blackstone,Alternative asset management,"Alternative investment manager focused on private equity, real estate, credit and infrastructure."
Visa,Payments,"Global payments network enabling electronic transactions between consumers, merchants and financial institutions."
Mastercard,Payments,Payments technology company operating a global card and transaction network.
PayPal,Payments and technology,Digital payments platform serving consumers and merchants through online checkout and related services.
American Express,Financial services and payments,Payments and travel services company issuing cards and operating a merchant network.
S&P Global,Financial information,"Provider of credit ratings, benchmarks, market intelligence and commodity price information."
Moody's,Financial information,"Company providing credit ratings, research, analytics and risk assessment services."
London Stock Exchange Group,Financial infrastructure,"Financial markets infrastructure group operating exchanges, clearing, data and analytics businesses."
UnitedHealth Group,Healthcare,Diversified healthcare group combining health insurance with healthcare services and technology.
CVS Health,Healthcare,"Healthcare company operating pharmacies, health insurance and clinical services businesses."
Johnson & Johnson,Healthcare,"Healthcare group developing pharmaceuticals, medical devices and consumer health products."
Pfizer,Pharmaceuticals,Pharmaceutical company developing and commercialising medicines and vaccines.
Eli Lilly,Pharmaceuticals,"Pharmaceutical company focused on medicines for diabetes, obesity, cancer and other conditions."
Merck & Co,Pharmaceuticals,"Research-based pharmaceutical company with major products in oncology, vaccines and animal health."
AbbVie,Pharmaceuticals,"Biopharmaceutical company developing medicines in immunology, oncology, neuroscience and other areas."
Roche,Pharmaceuticals and diagnostics,Swiss healthcare group combining prescription medicines with diagnostics technologies.
Novartis,Pharmaceuticals,Swiss pharmaceutical company focused on innovative medicines across several therapeutic areas.
AstraZeneca,Pharmaceuticals,"Biopharmaceutical company developing medicines in oncology, respiratory, cardiovascular and immune diseases."
GSK,Pharmaceuticals and vaccines,"Healthcare company focused on vaccines, specialty medicines and respiratory treatments."
Thermo Fisher Scientific,Life sciences tools,"Supplier of laboratory equipment, analytical instruments, reagents and services to life sciences organisations."
Danaher,Life sciences and industrial technology,"Science and technology group operating diagnostics, life sciences and dental businesses."
Procter & Gamble,Consumer goods,"Consumer products company owning brands such as Pampers, Gillette, Tide and Oral-B."
Coca-Cola,Consumer goods,"Beverage company selling soft drinks, water, coffee, sports drinks and other refreshments worldwide."
PepsiCo,Consumer goods,"Food and beverage group owning brands including Pepsi, Lay's, Doritos, Quaker and Gatorade."
