Company,Sector,Short description
Apple,Technology,"Consumer technology company known for the iPhone, Mac, iPad, wearables and digital services."
Microsoft,Technology,"Software and cloud computing company behind Windows, Azure, Microsoft 365 and LinkedIn."
Amazon,Consumer and technology,"E-commerce and cloud computing company operating Amazon Marketplace, AWS and logistics networks."
Nvidia,Semiconductors,"Chip designer specialising in graphics processors and accelerated computing for AI and data centres."
TSMC,Semiconductors,"The world's leading contract chip manufacturer, producing advanced semiconductors for technology companies."
Netflix,Media and entertainment,"Subscription streaming service producing and distributing television programmes and films."
JPMorgan Chase,Financial services,"Diversified banking group offering consumer banking, commercial banking, investment banking and asset management."
Goldman Sachs,Financial services,"Investment bank active in advisory, markets, asset management and consumer finance."
BlackRock,Asset management,"Investment manager offering funds, portfolio management, risk technology and advisory services."
Visa,Payments,"Global payments network enabling electronic transactions between consumers, merchants and financial institutions."
UnitedHealth Group,Healthcare,"Diversified healthcare group combining health insurance with healthcare services and technology."
Pfizer,Pharmaceuticals,"Pharmaceutical company developing and commercialising medicines and vaccines."
Procter & Gamble,Consumer goods,"Consumer products company owning brands such as Pampers, Gillette, Tide and Oral-B."
Coca-Cola,Consumer goods,"Beverage company selling soft drinks, water, coffee, sports drinks and other refreshments worldwide."
Walmart,Retail,"Large retailer operating supermarkets, hypermarkets, warehouse clubs and e-commerce platforms."
Siemens,Industrial technology,"Industrial technology group supplying automation, electrification, mobility and building systems."
Airbus,Aerospace,"Aircraft manufacturer producing commercial airliners, helicopters, defence systems and space equipment."
Toyota,Automotive,"Japanese vehicle manufacturer producing cars, trucks, hybrids and related mobility services."
Shell,Energy,"Integrated energy company active in oil, gas, liquefied natural gas, chemicals and low-carbon energy."
Maersk,Shipping and logistics,"Integrated logistics company operating container shipping, ports, freight and supply chain services."
