Company,Sector,Short description
ASML,Semiconductors,"Dutch company supplying advanced lithography equipment to semiconductor manufacturers."
Broadcom,Semiconductors and technology,"Technology company designing semiconductors and infrastructure software for communications and data centres."
ServiceNow,Technology,"Cloud software company providing digital workflows for IT, employees and customer service."
Snowflake,Technology,"Cloud data platform enabling organisations to store, analyse and share data."
Zoom Video Communications,Technology,"Communications software company providing video meetings, phone and collaboration tools."
Coinbase,Cryptocurrency and financial technology,"Cryptocurrency platform offering trading, custody and related financial services."
Databricks,Technology,"Data and artificial intelligence platform built around cloud analytics and data engineering."
Checkout.com,Payments and technology,"Global payments platform helping businesses accept and process online transactions."
Cloudflare,Internet infrastructure and cybersecurity,"Internet infrastructure company providing network, performance and cybersecurity services."
GitLab,Technology,"DevSecOps platform supporting software development, collaboration, security and deployment."
